agent_code,agent_age,agent_join_month,first_policy_sold_month,year_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies,next_month_new_policy_count
003c1999,35,2020-08-01,2022-12-01,2024-03-01,3,1,5,11,1,3,5,10,1,3,7,11,15,840540,188403,22,0,19.0
003c1999,35,2020-08-01,2022-12-01,2024-04-01,0,6,6,16,3,4,8,16,4,8,9,21,19,1116497,304531,84,133,32.0
003c1999,35,2020-08-01,2022-12-01,2024-05-01,1,6,11,23,4,6,8,20,5,8,14,27,32,1512256,212239,108,224,23.0
003c1999,35,2020-08-01,2022-12-01,2024-06-01,0,1,16,20,2,4,0,19,4,8,5,17,23,471684,97426,34,46,28.0
003c1999,35,2020-08-01,2022-12-01,2024-07-01,2,6,9,21,3,2,8,14,4,3,14,21,28,1102528,262281,84,112,19.0
00d5bda3,48,2019-08-01,2023-03-01,2023-01-01,1,5,10,17,0,5,0,13,0,5,1,6,19,1677776,490300,24,19,18.0
00d5bda3,48,2019-08-01,2023-03-01,2023-02-01,3,2,8,14,3,4,0,9,4,7,0,11,18,1567512,294100,44,18,0.0
00d5bda3,48,2019-08-01,2023-03-01,2023-03-01,0,1,9,14,2,0,4,12,3,1,4,8,0,0,357611,8,54,0.0
00d5bda3,48,2019-08-01,2023-03-01,2023-04-01,2,4,3,11,1,4,3,10,3,7,9,19,0,0,127154,38,20,29.0
00d5bda3,48,2019-08-01,2023-03-01,2023-05-01,3,5,12,23,0,1,3,14,0,5,5,10,29,1789184,429359,20,87,31.0
00d5bda3,48,2019-08-01,2023-03-01,2023-06-01,3,0,20,27,4,2,6,19,4,6,6,16,31,226796,43453,0,31,33.0
00d5bda3,48,2019-08-01,2023-03-01,2023-07-01,3,6,15,25,0,6,8,15,1,7,14,22,33,1110351,169091,88,231,33.0
00d5bda3,48,2019-08-01,2023-03-01,2023-08-01,0,1,20,25,2,6,6,16,3,10,8,21,33,2521266,415108,21,264,28.0
00d5bda3,48,2019-08-01,2023-03-01,2023-09-01,0,2,16,21,0,6,7,14,2,10,13,25,28,2314088,249504,75,84,32.0
00d5bda3,48,2019-08-01,2023-03-01,2023-10-01,1,5,18,26,3,5,3,20,5,5,6,16,32,993184,276039,16,192,0.0
00d5bda3,48,2019-08-01,2023-03-01,2023-11-01,2,5,18,27,4,1,7,17,4,3,7,14,0,0,181064,56,105,37.0
00d5bda3,48,2019-08-01,2023-03-01,2023-12-01,2,6,19,28,3,0,4,12,4,1,5,10,37,170237,19777,0,259,35.0
00d5bda3,48,2019-08-01,2023-03-01,2024-01-01,1,1,20,26,2,3,1,8,2,5,7,14,35,582680,139975,56,105,30.0
00d5bda3,48,2019-08-01,2023-03-01,2024-02-01,3,1,14,21,4,5,1,18,4,8,5,17,30,1556370,194309,34,120,19.0
00d5bda3,48,2019-08-01,2023-03-01,2024-03-01,2,5,8,17,0,4,6,16,2,5,7,14,19,1315655,202257,0,19,22.0
00d5bda3,48,2019-08-01,2023-03-01,2024-04-01,0,0,10,15,2,5,7,15,2,9,13,24,22,1161380,121890,48,66,0.0
00d5bda3,48,2019-08-01,2023-03-01,2024-05-01,1,5,14,24,3,0,0,11,5,4,0,9,0,0,326866,0,270,18.0
00d5bda3,48,2019-08-01,2023-03-01,2024-06-01,3,0,9,14,2,1,8,12,3,5,11,19,18,216882,64568,0,18,21.0
00d5bda3,48,2019-08-01,2023-03-01,2024-07-01,2,3,5,15,3,2,8,14,4,5,8,17,21,506835,126419,51,42,0.0
012a3553,25,2019-05-01,2023-10-01,2023-01-01,2,5,0,8,3,4,4,12,5,4,10,19,9,254052,35626,0,54,20.0
012a3553,25,2019-05-01,2023-10-01,2023-02-01,1,2,8,15,2,6,3,12,2,8,4,14,20,764140,196055,42,20,0.0
012a3553,25,2019-05-01,2023-10-01,2023-03-01,2,2,12,18,0,2,1,10,2,6,2,10,0,0,292277,40,50,26.0
012a3553,25,2019-05-01,2023-10-01,2023-04-01,2,5,7,19,4,1,8,16,5,5,9,19,26,2597868,710759,38,156,9.0
012a3553,25,2019-05-01,2023-10-01,2023-05-01,1,2,3,8,0,0,4,5,1,0,4,5,9,379368,76084,5,81,0.0
012a3553,25,2019-05-01,2023-10-01,2023-06-01,3,2,0,6,4,4,3,12,4,7,5,16,0,0,144987,32,0,22.0
012a3553,25,2019-05-01,2023-10-01,2023-07-01,2,5,3,15,1,4,0,11,1,4,1,6,22,1865534,244325,18,110,29.0
012a3553,25,2019-05-01,2023-10-01,2023-08-01,3,4,12,24,0,1,6,14,0,4,6,10,29,1010273,243840,30,203,25.0
012a3553,25,2019-05-01,2023-10-01,2023-09-01,3,2,18,24,1,6,5,22,2,6,7,15,25,2398425,359709,0,175,34.0
012a3553,25,2019-05-01,2023-10-01,2023-10-01,2,6,18,27,2,6,0,16,2,10,0,12,34,97750,13925,0,272,23.0
012a3553,25,2019-05-01,2023-10-01,2023-11-01,1,1,9,14,3,5,3,13,5,7,4,16,23,982284,109445,0,115,21.0
012a3553,25,2019-05-01,2023-10-01,2023-12-01,1,5,8,15,4,6,9,20,6,10,14,30,21,294546,61314,90,63,14.0
012a3553,25,2019-05-01,2023-10-01,2024-01-01,1,3,5,12,3,1,1,8,5,1,5,11,14,1095136,249554,0,84,17.0
012a3553,25,2019-05-01,2023-10-01,2024-02-01,0,0,9,13,1,5,2,11,3,7,8,18,17,1559155,435396,0,17,30.0
012a3553,25,2019-05-01,2023-10-01,2024-03-01,1,6,14,23,1,3,8,20,2,6,9,17,30,1440390,162930,68,0,0.0
012a3553,25,2019-05-01,2023-10-01,2024-04-01,1,0,18,21,4,3,6,18,6,6,11,23,0,0,79791,0,175,13.0
012a3553,25,2019-05-01,2023-10-01,2024-05-01,1,3,4,11,3,6,6,16,3,10,11,24,13,1255371,191074,0,0,12.0
012a3553,25,2019-05-01,2023-10-01,2024-06-01,2,2,2,9,4,4,0,9,5,5,3,13,12,675396,175460,13,108,30.0
012a3553,25,2019-05-01,2023-10-01,2024-07-01,1,1,18,21,4,1,9,16,4,4,11,19,30,506790,97237,0,0,28.0
012f0e15,31,2019-06-01,2024-04-01,2023-01-01,3,6,12,23,3,2,5,14,3,4,9,16,25,2224500,561647,0,75,27.0
012f0e15,31,2019-06-01,2024-04-01,2023-02-01,1,2,11,19,0,5,1,7,2,5,6,13,27,644490,81558,26,108,25.0
012f0e15,31,2019-06-01,2024-04-01,2023-03-01,2,5,14,22,3,4,1,12,4,6,6,16,25,1897350,387058,32,125,12.0
012f0e15,31,2019-06-01,2024-04-01,2023-04-01,3,0,3,8,4,1,9,15,5,5,11,21,12,1185708,262777,84,72,27.0
012f0e15,31,2019-06-01,2024-04-01,2023-05-01,1,5,8,19,2,5,1,17,3,9,2,14,27,810783,210850,56,243,24.0
012f0e15,31,2019-06-01,2024-04-01,2023-06-01,2,5,12,20,3,1,6,15,3,1,10,14,24,231192,65774,42,0,0.0
012f0e15,31,2019-06-01,2024-04-01,2023-07-01,2,4,11,21,2,5,7,19,4,8,12,24,0,0,13898,96,156,0.0
012f0e15,31,2019-06-01,2024-04-01,2023-08-01,2,0,9,13,2,0,3,10,2,0,6,8,0,0,459635,24,17,17.0
012f0e15,31,2019-06-01,2024-04-01,2023-09-01,0,4,5,12,4,0,5,10,6,0,7,13,17,1547544,448572,52,68,19.0
012f0e15,31,2019-06-01,2024-04-01,2023-10-01,3,0,9,17,0,2,1,14,0,2,4,6,19,594149,178088,6,19,20.0
012f0e15,31,2019-06-01,2024-04-01,2023-11-01,2,3,7,14,0,0,6,9,2,4,9,15,20,1863640,250885,0,80,26.0
012f0e15,31,2019-06-01,2024-04-01,2023-12-01,1,4,16,22,1,4,9,16,2,4,15,21,26,185120,49136,42,182,21.0
012f0e15,31,2019-06-01,2024-04-01,2024-01-01,2,1,8,13,0,1,7,11,1,4,13,18,21,1037295,308724,18,42,0.0
012f0e15,31,2019-06-01,2024-04-01,2024-02-01,2,2,7,14,2,4,5,13,3,7,9,19,0,0,152362,0,92,14.0
012f0e15,31,2019-06-01,2024-04-01,2024-03-01,0,5,4,13,3,5,8,17,4,6,14,24,14,73066,18317,72,56,22.0
012f0e15,31,2019-06-01,2024-04-01,2024-04-01,3,5,7,19,3,6,3,17,4,10,6,20,22,633952,159358,0,0,30.0
012f0e15,31,2019-06-01,2024-04-01,2024-05-01,0,1,18,22,0,5,7,18,0,9,10,19,30,1150230,194792,57,150,26.0
012f0e15,31,2019-06-01,2024-04-01,2024-06-01,2,5,11,23,3,0,3,21,3,1,3,7,26,38610,9230,0,26,21.0
012f0e15,31,2019-06-01,2024-04-01,2024-07-01,2,4,9,16,3,0,0,11,5,3,0,8,21,1393938,380074,0,189,37.0
0177ed5f,46,2022-07-01,2023-08-01,2023-01-01,3,1,0,5,4,0,2,7,4,4,3,11,13,1189162,238246,44,52,29.0
0177ed5f,46,2022-07-01,2023-08-01,2023-02-01,2,1,16,21,0,0,5,12,0,2,10,12,29,2545968,447079,0,203,21.0
0177ed5f,46,2022-07-01,2023-08-01,2023-03-01,2,4,10,19,2,0,0,8,3,2,3,8,21,566076,137243,16,0,28.0
0177ed5f,46,2022-07-01,2023-08-01,2023-04-01,1,5,17,25,1,5,0,11,2,6,1,9,28,249144,27767,9,28,25.0
0177ed5f,46,2022-07-01,2023-08-01,2023-05-01,1,3,13,22,4,5,3,20,5,6,9,20,25,1305850,331286,80,225,19.0
0177ed5f,46,2022-07-01,2023-08-01,2023-06-01,3,1,7,16,3,6,3,13,3,8,4,15,19,1486085,169334,30,114,34.0
0177ed5f,46,2022-07-01,2023-08-01,2023-07-01,0,6,15,25,1,6,9,17,2,9,14,25,34,1224646,230423,25,68,15.0
0177ed5f,46,2022-07-01,2023-08-01,2023-08-01,0,0,10,14,1,0,7,12,2,1,11,14,15,1034745,129966,56,30,20.0
0177ed5f,46,2022-07-01,2023-08-01,2023-09-01,0,2,8,13,3,6,7,17,4,6,7,17,20,1520640,441880,0,0,18.0
0177ed5f,46,2022-07-01,2023-08-01,2023-10-01,0,0,11,16,2,6,4,13,4,6,8,18,18,690228,113239,36,126,15.0
0177ed5f,46,2022-07-01,2023-08-01,2023-11-01,1,1,2,9,4,1,5,11,5,4,5,14,15,576135,134078,42,45,18.0
0177ed5f,46,2022-07-01,2023-08-01,2023-12-01,0,5,7,14,1,1,0,6,3,4,2,9,18,1732608,516983,36,36,20.0
0177ed5f,46,2022-07-01,2023-08-01,2024-01-01,2,5,2,11,1,3,8,13,2,4,9,15,20,843120,140039,15,140,21.0
0177ed5f,46,2022-07-01,2023-08-01,2024-02-01,3,3,5,12,1,6,9,17,2,6,11,19,21,1112160,257019,19,42,26.0
0177ed5f,46,2022-07-01,2023-08-01,2024-03-01,1,4,15,23,3,1,8,22,5,3,13,21,26,2414074,554768,0,182,29.0
0177ed5f,46,2022-07-01,2023-08-01,2024-04-01,1,4,17,23,0,3,5,9,1,5,7,13,29,956478,135027,52,0,23.0
0177ed5f,46,2022-07-01,2023-08-01,2024-05-01,2,5,3,14,0,2,9,12,0,6,10,16,23,1419169,333833,48,0,0.0
0177ed5f,46,2022-07-01,2023-08-01,2024-06-01,3,1,0,8,0,5,9,15,1,7,14,22,0,0,156243,22,108,24.0
0177ed5f,46,2022-07-01,2023-08-01,2024-07-01,0,4,12,20,2,5,6,18,2,8,12,22,24,27480,5846,0,96,27.0
01a4ff82,52,2021-08-01,2023-08-01,2023-01-01,1,6,8,19,1,1,7,14,3,5,11,19,25,1901150,424278,0,0,7.0
01a4ff82,52,2021-08-01,2023-08-01,2023-02-01,0,1,4,6,4,1,0,6,6,4,0,10,7,523187,80133,30,35,23.0
01a4ff82,52,2021-08-01,2023-08-01,2023-03-01,1,6,5,15,0,5,9,15,0,9,14,23,23,1589047,320292,23,23,22.0
01a4ff82,52,2021-08-01,2023-08-01,2023-04-01,2,6,4,15,2,4,3,10,2,7,4,13,22,114202,20615,39,154,27.0
01a4ff82,52,2021-08-01,2023-08-01,2023-05-01,1,4,9,18,1,2,6,12,3,2,10,15,27,1593756,308602,60,81,14.0
01a4ff82,52,2021-08-01,2023-08-01,2023-06-01,1,4,0,8,4,0,2,7,5,0,8,13,14,482902,104166,13,98,19.0
01a4ff82,52,2021-08-01,2023-08-01,2023-07-01,3,1,8,17,2,6,2,11,2,7,8,17,19,1474799,386276,0,133,32.0
01a4ff82,52,2021-08-01,2023-08-01,2023-08-01,0,6,18,27,1,0,9,14,3,2,9,14,32,1092736,110326,28,128,12.0
01a4ff82,52,2021-08-01,2023-08-01,2023-09-01,0,5,2,8,1,6,1,9,2,7,7,16,12,374016,59558,16,60,24.0
01a4ff82,52,2021-08-01,2023-08-01,2023-10-01,3,4,4,15,4,2,8,15,5,6,11,22,24,689616,106939,88,120,23.0
01a4ff82,52,2021-08-01,2023-08-01,2023-11-01,0,0,13,15,0,5,4,12,0,8,4,12,23,1324616,174811,12,0,35.0
01a4ff82,52,2021-08-01,2023-08-01,2023-12-01,3,5,17,30,3,6,9,29,4,10,9,23,35,1172080,179205,46,140,19.0
01a4ff82,52,2021-08-01,2023-08-01,2024-01-01,0,5,6,12,1,1,2,7,1,1,5,7,19,387638,115314,0,171,16.0
01a4ff82,52,2021-08-01,2023-08-01,2024-02-01,0,3,6,12,3,1,5,11,4,5,8,17,16,1204752,259938,51,48,16.0
01a4ff82,52,2021-08-01,2023-08-01,2024-03-01,0,3,8,13,0,6,6,13,1,6,7,14,16,527440,137349,28,128,8.0
01a4ff82,52,2021-08-01,2023-08-01,2024-04-01,2,1,0,4,3,6,1,11,4,9,7,20,8,407520,104448,40,24,31.0
01a4ff82,52,2021-08-01,2023-08-01,2024-05-01,2,6,14,24,1,0,9,23,3,4,11,18,31,2057160,553725,54,217,21.0
01a4ff82,52,2021-08-01,2023-08-01,2024-06-01,1,3,10,15,1,6,9,17,3,10,12,25,21,1352652,190083,75,0,8.0
01a4ff82,52,2021-08-01,2023-08-01,2024-07-01,3,1,0,7,1,3,0,6,2,7,3,12,8,456320,127493,24,24,32.0
01b0edf6,22,2024-04-01,2024-04-01,2024-05-01,0,1,2,7,3,3,4,11,3,4,8,15,14,880292,218152,45,70,17.0
01b0edf6,22,2024-04-01,2024-04-01,2024-06-01,1,3,5,14,3,6,1,13,4,10,2,16,17,506447,135366,32,0,16.0
01b0edf6,22,2024-04-01,2024-04-01,2024-07-01,3,1,2,9,4,4,1,10,4,7,1,12,16,962240,225791,24,0,14.0
01c0860d,43,2023-11-01,2024-02-01,2023-12-01,0,3,18,25,1,2,9,23,3,3,15,21,26,2245802,345617,84,26,31.0
01c0860d,43,2023-11-01,2024-02-01,2024-01-01,0,4,19,27,2,2,8,13,3,5,8,16,31,2608836,391671,0,31,10.0
01c0860d,43,2023-11-01,2024-02-01,2024-02-01,1,0,3,6,2,4,4,11,4,7,5,16,10,418320,74440,0,30,0.0
01c0860d,43,2023-11-01,2024-02-01,2024-03-01,0,4,9,14,1,0,4,10,2,2,8,12,0,0,303942,48,45,18.0
01c0860d,43,2023-11-01,2024-02-01,2024-04-01,1,1,11,16,0,3,8,14,1,4,8,13,18,821754,87274,52,36,24.0
01c0860d,43,2023-11-01,2024-02-01,2024-05-01,1,6,4,15,3,0,8,14,5,4,10,19,24,2088720,456524,38,120,14.0
01c0860d,43,2023-11-01,2024-02-01,2024-06-01,0,6,4,13,2,5,0,9,3,6,0,9,14,1195110,217189,27,84,18.0
01c0860d,43,2023-11-01,2024-02-01,2024-07-01,0,6,5,14,4,4,3,13,4,8,7,19,18,713106,152430,57,18,18.0
01c63d8e,31,2020-07-01,2022-06-01,2023-01-01,1,5,20,31,0,6,8,18,2,9,14,25,36,130392,18068,100,108,29.0
01c63d8e,31,2020-07-01,2022-06-01,2023-02-01,1,2,19,23,4,5,6,16,6,7,12,25,29,2607303,774400,50,174,25.0
01c63d8e,31,2020-07-01,2022-06-01,2023-03-01,2,5,10,22,1,3,0,11,2,3,4,9,25,758200,183957,9,25,18.0
01c63d8e,31,2020-07-01,2022-06-01,2023-04-01,0,5,8,15,4,1,5,13,5,5,10,20,18,1287882,289105,0,108,20.0
01c63d8e,31,2020-07-01,2022-06-01,2023-05-01,1,3,3,12,0,6,8,15,2,6,12,20,20,814340,237166,20,20,0.0
01c63d8e,31,2020-07-01,2022-06-01,2023-06-01,0,6,20,30,1,4,0,9,3,7,0,10,0,0,658132,10,165,32.0
01c63d8e,31,2020-07-01,2022-06-01,2023-07-01,3,0,15,23,4,5,2,22,5,8,3,16,32,1088160,321385,48,96,16.0
01c63d8e,31,2020-07-01,2022-06-01,2023-08-01,3,4,5,13,1,3,8,13,3,5,11,19,16,1072016,258267,19,128,13.0
01c63d8e,31,2020-07-01,2022-06-01,2023-09-01,2,6,2,12,1,1,7,10,1,1,10,12,13,624832,123658,36,65,34.0
01c63d8e,31,2020-07-01,2022-06-01,2023-10-01,3,3,19,28,1,4,0,8,1,7,6,14,34,2685966,418437,0,68,15.0
01c63d8e,31,2020-07-01,2022-06-01,2023-11-01,1,1,11,14,4,6,1,13,5,6,4,15,15,1243620,283730,15,135,16.0
01c63d8e,31,2020-07-01,2022-06-01,2023-12-01,2,1,8,12,2,6,8,17,4,9,13,26,16,418448,79736,26,32,0.0
01c63d8e,31,2020-07-01,2022-06-01,2024-01-01,3,4,19,28,0,3,2,15,0,7,4,11,0,0,20051,33,111,23.0
01c63d8e,31,2020-07-01,2022-06-01,2024-02-01,2,0,11,17,0,6,0,15,2,7,5,14,23,1676033,303786,0,161,29.0
01c63d8e,31,2020-07-01,2022-06-01,2024-03-01,2,3,16,22,4,2,0,20,4,2,2,8,29,2419122,543197,24,0,18.0
01c63d8e,31,2020-07-01,2022-06-01,2024-04-01,1,4,2,10,0,1,3,5,2,1,4,7,18,270918,78916,28,126,27.0
01c63d8e,31,2020-07-01,2022-06-01,2024-05-01,2,6,14,25,0,0,3,12,1,1,8,10,27,519318,68600,20,243,31.0
01c63d8e,31,2020-07-01,2022-06-01,2024-06-01,2,4,11,22,2,4,6,18,2,5,12,19,31,2275214,240657,57,155,26.0
01c63d8e,31,2020-07-01,2022-06-01,2024-07-01,3,5,11,21,4,5,1,16,6,5,7,18,26,2314390,648489,18,130,19.0
01cf7b40,34,2023-02-01,2024-04-01,2023-03-01,2,3,14,22,2,2,2,9,2,6,6,14,0,0,325615,42,46,23.0
01cf7b40,34,2023-02-01,2024-04-01,2023-04-01,2,6,2,14,0,5,2,8,2,5,2,9,23,1318360,386807,27,184,31.0
01cf7b40,34,2023-02-01,2024-04-01,2023-05-01,1,5,19,27,2,2,0,11,4,5,5,14,31,1884149,192226,28,248,24.0
01cf7b40,34,2023-02-01,2024-04-01,2023-06-01,2,2,7,16,1,3,7,15,2,3,10,15,24,583488,60406,60,216,14.0
01cf7b40,34,2023-02-01,2024-04-01,2023-07-01,3,1,7,13,0,5,5,11,1,6,8,15,14,1237180,355603,45,28,24.0
01cf7b40,34,2023-02-01,2024-04-01,2023-08-01,2,4,11,20,3,2,8,18,5,5,9,19,24,614040,73617,76,216,22.0
01cf7b40,34,2023-02-01,2024-04-01,2023-09-01,1,3,7,14,1,4,9,15,2,7,14,23,22,758230,223795,23,110,0.0
01cf7b40,34,2023-02-01,2024-04-01,2023-10-01,2,1,10,14,1,0,6,9,2,4,8,14,0,0,88253,0,0,19.0
01cf7b40,34,2023-02-01,2024-04-01,2023-11-01,2,4,5,15,0,3,2,10,2,3,5,10,19,1548082,448184,0,19,25.0
01cf7b40,34,2023-02-01,2024-04-01,2023-12-01,1,4,12,18,3,0,4,15,5,0,10,15,25,1233275,232059,15,175,30.0
01cf7b40,34,2023-02-01,2024-04-01,2024-01-01,3,0,19,24,1,5,0,19,3,7,4,14,30,2900700,552951,42,240,29.0
01cf7b40,34,2023-02-01,2024-04-01,2024-02-01,3,3,11,21,1,3,2,12,3,6,3,12,29,2802241,521937,36,145,35.0
01cf7b40,34,2023-02-01,2024-04-01,2024-03-01,1,4,20,26,0,4,2,20,0,8,7,15,35,765380,106238,45,0,20.0
01cf7b40,34,2023-02-01,2024-04-01,2024-04-01,1,6,11,19,3,1,1,17,5,3,2,10,20,1809340,280571,30,140,30.0
01cf7b40,34,2023-02-01,2024-04-01,2024-05-01,3,5,13,25,4,5,5,18,6,7,9,22,30,759720,202639,88,240,27.0
01cf7b40,34,2023-02-01,2024-04-01,2024-06-01,3,6,15,26,3,3,4,20,3,6,9,18,27,1559061,157588,18,0,25.0
01cf7b40,34,2023-02-01,2024-04-01,2024-07-01,0,2,13,17,4,0,9,15,6,0,14,20,25,2381575,622283,0,125,16.0
026b60ee,57,2019-08-01,2022-03-01,2023-01-01,1,6,9,19,1,4,9,17,2,4,13,19,23,577990,111634,76,207,15.0
026b60ee,57,2019-08-01,2022-03-01,2023-02-01,3,2,1,10,0,5,5,11,2,5,8,15,15,227325,51802,30,105,0.0
026b60ee,57,2019-08-01,2022-03-01,2023-03-01,1,0,2,4,4,5,4,14,5,9,7,21,0,0,59440,63,12,24.0
026b60ee,57,2019-08-01,2022-03-01,2023-04-01,0,5,5,15,0,4,6,12,1,5,12,18,24,1606584,329024,0,24,0.0
026b60ee,57,2019-08-01,2022-03-01,2023-05-01,1,4,17,26,0,3,7,20,0,5,10,15,0,0,392888,45,174,0.0
026b60ee,57,2019-08-01,2022-03-01,2023-06-01,0,6,16,25,0,5,9,21,1,5,13,19,0,0,199674,0,150,31.0
026b60ee,57,2019-08-01,2022-03-01,2023-07-01,2,2,14,23,3,4,9,21,3,8,15,26,31,2184756,384138,78,279,20.0
026b60ee,57,2019-08-01,2022-03-01,2023-08-01,0,6,5,13,1,0,5,12,1,2,8,11,20,996920,261302,22,0,34.0
026b60ee,57,2019-08-01,2022-03-01,2023-09-01,3,4,20,32,4,1,3,11,4,3,9,16,34,2139960,572513,0,102,26.0
026b60ee,57,2019-08-01,2022-03-01,2023-10-01,3,0,15,19,2,5,4,15,2,6,5,13,26,2265874,514856,0,0,29.0
026b60ee,57,2019-08-01,2022-03-01,2023-11-01,3,1,20,28,1,6,5,19,2,8,5,15,29,2166735,492517,60,174,19.0
026b60ee,57,2019-08-01,2022-03-01,2023-12-01,3,6,7,17,3,1,1,14,5,4,4,13,19,1594936,241525,13,152,20.0
026b60ee,57,2019-08-01,2022-03-01,2024-01-01,0,4,10,19,4,0,3,10,6,2,3,11,20,1129440,335008,44,160,18.0
026b60ee,57,2019-08-01,2022-03-01,2024-02-01,3,2,2,10,0,1,6,9,2,1,12,15,18,1502820,332169,45,54,26.0
026b60ee,57,2019-08-01,2022-03-01,2024-03-01,3,1,15,22,1,0,0,2,3,1,6,10,26,1075490,253856,30,78,17.0
026b60ee,57,2019-08-01,2022-03-01,2024-04-01,2,1,4,9,3,0,6,10,4,3,10,17,17,229687,51873,0,17,30.0
026b60ee,57,2019-08-01,2022-03-01,2024-05-01,1,4,17,23,2,4,8,20,4,4,10,18,30,2633610,266818,0,60,28.0
026b60ee,57,2019-08-01,2022-03-01,2024-06-01,3,0,16,24,1,1,7,15,3,3,10,16,28,2304148,394262,48,84,23.0
026b60ee,57,2019-08-01,2022-03-01,2024-07-01,1,0,16,19,3,0,9,13,4,2,9,15,23,2132514,229389,30,0,27.0
026ffb43,40,2020-05-01,2023-04-01,2023-01-01,3,3,4,14,3,2,8,14,4,6,12,22,17,490841,103025,66,68,21.0
026ffb43,40,2020-05-01,2023-04-01,2023-02-01,3,4,10,19,1,6,9,17,2,9,12,23,21,1306116,287728,0,147,33.0
026ffb43,40,2020-05-01,2023-04-01,2023-03-01,1,6,20,32,0,1,3,31,0,5,6,11,33,670065,192877,33,165,30.0
026ffb43,40,2020-05-01,2023-04-01,2023-04-01,3,4,18,27,4,5,3,23,6,9,4,19,30,446070,104645,0,180,14.0
026ffb43,40,2020-05-01,2023-04-01,2023-05-01,1,2,4,10,1,6,4,12,2,9,7,18,14,501816,66438,72,126,17.0
026ffb43,40,2020-05-01,2023-04-01,2023-06-01,2,6,0,9,2,0,1,5,2,0,7,9,17,306969,44940,0,0,16.0
026ffb43,40,2020-05-01,2023-04-01,2023-07-01,3,1,7,13,0,1,8,11,2,2,8,12,16,778688,223415,12,80,0.0
026ffb43,40,2020-05-01,2023-04-01,2023-08-01,2,2,14,19,1,0,9,18,1,2,15,18,0,0,304076,0,147,32.0
026ffb43,40,2020-05-01,2023-04-01,2023-09-01,3,5,17,30,3,0,4,10,3,3,5,11,32,48992,7058,44,0,23.0
026ffb43,40,2020-05-01,2023-04-01,2023-10-01,0,6,14,22,3,0,0,17,4,1,5,10,23,1554478,270498,30,69,14.0
026ffb43,40,2020-05-01,2023-04-01,2023-11-01,1,3,2,9,0,3,9,13,0,3,12,15,14,606634,103963,30,112,17.0
026ffb43,40,2020-05-01,2023-04-01,2023-12-01,1,2,4,9,4,0,1,7,4,0,7,11,17,1017348,162471,44,68,26.0
026ffb43,40,2020-05-01,2023-04-01,2024-01-01,0,2,19,23,0,1,9,22,1,2,11,14,26,788580,116684,0,52,35.0
026ffb43,40,2020-05-01,2023-04-01,2024-02-01,3,4,17,26,3,0,0,11,5,0,6,11,35,1276275,265616,0,0,33.0
